marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD2	T cell	0	0.412675874130245	0.291	0.041	0	2	0.25
CD2	T cell	0	0.574358384925608	0.415	0.054	0	7	0.361
CD36	Endothelial cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Oogenesis phase fetal germ cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Alpha cell (¦Á cell)	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Progenitor cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Type 3 dendritic cell (DC3)	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Endothelial progenitor cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	M2 macrophage	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Fibroblast	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Red blood cell (erythrocyte)	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	CD1C+_B dendritic cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Platelet	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Endothelial cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Ependymal-like cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Cancer cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Low-density neutrophil	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD36	Endothelial progenitor cell	0.000788659977672289	0.647870664365281	0.379	0.25	1	13	0.129
CD37	Immune cell	6.27810002492012e-46	0.360605662390342	0.344	0.109	1.13093693848911e-41	10	0.235
CD37	Paneth cell	6.27810002492012e-46	0.360605662390342	0.344	0.109	1.13093693848911e-41	10	0.235
CD37	B cell	6.27810002492012e-46	0.360605662390342	0.344	0.109	1.13093693848911e-41	10	0.235
CD37	B cell	6.27810002492012e-46	0.360605662390342	0.344	0.109	1.13093693848911e-41	10	0.235
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Natural killer T(NKT) cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Natural killer T(NKT) cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Cytotoxic T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Cytotoxic T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	CD8+ T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	CD8+ T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Natural killer T(NKT) cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Natural killer T(NKT) cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Proliferative T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Proliferative T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Stromal cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Stromal cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Regulatory T (Treg) cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Regulatory T (Treg) cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Naive CD8+ T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Naive CD8+ T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Natural killer T (NKT) cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Natural killer T (NKT) cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Natural killer T (NKT) cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Natural killer T (NKT) cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	Lymphocyte	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	Lymphocyte	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
CD3D	T cell	0	0.470014323621577	0.354	0.062	0	2	0.292
CD3D	CD8+ T cell	1.72958462530367e-163	0.486456294421841	0.364	0.083	3.11567374402202e-159	7	0.281
