Tag	GSM257871	GSM257872	GSM257873	GSM257874
CYP3A5	4.67910283821162	6.17566032141135	5.8820658558991	6.15438675468686
CYP46A1	8.59605181746632	8.79642254566341	8.99017772808982	8.91925664591428
CYP4A11	6.13901510225151	6.25453357676012	6.52468744631885	6.13785185975786
CYP4B1	2.56295550418017	2.67082674258535	2.19767670921982	4.81617984064176
CYP4F11	3.62669611211637	2.9169657402387	1.93106273502374	2.65303019956983
CYP4F12	5.34084707705041	4.83150740187392	4.53111317227789	4.70640346158634
CYP4F2	3.86806443925247	4.25330102426947	4.0038720421931	4.20069266615472
CYP4F3	3.14075411994421	3.07285868737537	2.70962810747515	5.48545258935167
CYP4F8	2.52957110757389	1.61203160202765	2.22042902066555	1.95271376147323
CYP7A1	4.78841426633025	2.79465707519338	2.14059217294333	3.23666404781867
CYP7B1	2.53709971797078	4.18505777528224	4.92359608993237	4.96837649720413
CYR61	4.40091358250628	3.93935823880356	4.33051537667436	4.23673751134221
CYSLTR1	5.94012445587143	3.70812100519485	5.22514765485776	5.11021288518543
CYSLTR2	2.91048707588804	6.14613179183157	5.70678746309502	6.47010568408202
CYTH1	6.9045081827595	6.82822536035888	6.85488084709444	7.01246811039969
CYTH2	8.22849645261885	8.6280335431225	9.0349997431486	8.56166599439429
CYTH3	4.93803167448817	6.32599616410312	5.11220803144748	4.17093453467551
CYTH4	7.37066997232071	7.62847470360825	7.68887971147322	7.69477574680996
CYTIP	8.43616183931445	8.35177406814231	9.20179556724386	9.33677878284182
CYTL1	5.82952740315006	5.79536695167528	2.78513201531599	7.08238326064949
DAAM1	5.89113480012614	6.21116214184571	6.05220502197401	6.88544014258793
DAAM2	6.22956677433744	6.0182179863181	5.34472909529275	5.76113631485646
DAB1	3.25414350839846	3.32717140786195	3.3908464982339	3.64027386214872
DACH1	5.07979195716536	5.32656970487282	5.2822470373954	2.78738022229634
DACT1	3.96791558993758	4.68581123054186	5.87332106291482	4.02564012660671
DAD1	11.4718987132123	11.226358000388	11.2577944273794	11.4397166271501
DAG1	9.59708231064031	9.71710917135043	10.0135180905777	9.90506804239044
DAGLA	3.87237569200602	4.55821252156263	4.50697635252916	5.88681837197377
DAK	6.81823703971209	6.56830577728141	6.16087784549263	6.74002356953148
DALRD3	8.07880727811453	7.11907599472748	7.57829720501499	7.74331299384095
DAO	7.60059684467235	7.18244401502967	7.6442889333787	7.10281557639282
DAP	9.22718993052643	9.60404722417233	9.32026352725651	9.40324002382859
DAP3	11.5622662781085	11.7093423368841	11.4472899012391	11.2337095428379
DAPK1	9.36301333944674	9.10220406864445	8.51031714996741	9.03723394715591
DAPK2	4.7024580786754	4.44931044930764	3.90951391408659	4.19159423299607
DAPP1	7.93090879522723	8.44620659503205	7.88074673811053	7.63119888698961
DARS	11.6688938460022	11.5939792862978	11.5274134713432	11.4076342344772
DARS2	10.1582688538527	10.0121496143196	9.71437604131289	9.66518488824759
DAXX	9.33260277058495	9.13119074974152	9.04260877296162	8.99256735019726
DAZAP1	9.84572525378829	9.7394194689751	9.83792747809161	8.60985836264129
DAZAP2	12.3181388663313	12.405261150791	12.3546626234741	12.2581743920822
DAZL	3.91202705334017	4.93606310190092	4.67553933166559	6.18299415146183
DBF4	10.587449380727	10.863257071933	10.5913353357414	10.5774193862834
DBF4B	6.38391506605263	6.82191425930924	7.10228019317503	6.01674589952503
DBH	3.33870964512076	5.53838606426771	4.5422394741747	3.04573651256131
DBI	13.4054739043298	13.7478468129166	13.5108383278542	13.6170311930063
DBN1	7.76864750111893	7.58727496971858	7.5169370296271	7.20478630983657
DBNDD1	4.39947190881555	5.91653396892959	5.05153741918358	6.78949452050654
DBP	8.18038659279099	8.11321603330389	8.09932676820721	8.02117987508401
DBR1	8.19493902625298	8.3748612561983	8.26223581845378	7.96876469732103
DBT	10.2798775071698	10.2485443235275	10.0617492007952	9.93920747411867
DCAF10	7.78897275957759	7.97932801200601	7.65756855459538	8.23472164735412
DCAF11	8.41213792626752	8.72514468109921	8.50630758110031	8.49180500569346
DCAF13	4.83074716038206	4.00309846468065	3.8708775866492	5.89176669450283
DCAF15	7.4541758931858	7.87863339248606	8.00033245781361	7.84964279371964
DCAF16	6.57894474946168	6.54278425884824	6.45851160726394	6.63848514941772
DCAF17	6.08781922776745	6.80034341694352	6.86995774820141	6.69245509647097
DCAF4	6.4881839891846	6.02147084379295	6.24004904752374	5.87835505781459
DCAF6	8.28346808151571	8.06929938095373	8.09902688356226	8.01788294579952
DCAF7	9.31945987789612	9.32253660350947	9.56097091843952	9.44556739366684
DCAF8	7.945379455041	7.56601597183668	7.63427379576833	7.63934794472206
DCAKD	7.09275714091985	6.93954395453455	7.34719613714515	7.59765779927273
DCBLD2	3.48851500895781	3.00873785792166	3.06616842884513	3.0541191327208
DCC	3.83587355883775	2.53449245355252	3.67244797230445	3.74223262505636
DCHS1	4.66102556279115	6.15218341905505	4.9569348301938	5.56162857575681
DCHS2	3.40151305853958	3.59714974221686	3.82705683650015	3.40731331784318
DCK	10.0562312648947	9.87379782166731	9.64714179030505	9.85514412043116
DCLK1	5.78800700412042	5.41606955867776	5.12266443696891	4.73395624191585
DCLK2	3.96131771866508	5.62166509606494	6.0558420492381	3.67191606560889
DCLRE1A	8.14960487495327	8.43014725345753	8.11247599725154	7.96585930285376
DCLRE1B	8.4808346220927	8.06614302135798	8.47072394129133	8.51311960182075
DCLRE1C	9.04078286580607	8.70611262984209	8.61809913741945	8.82404543391317
DCN	5.68202263107666	6.9990867555577	6.4794537011357	7.00580417319148
DCP1A	9.02999666518866	8.79413964829128	9.09660711300624	9.30021984000892
DCP2	9.71380061810297	9.83567147948162	9.73717803791064	9.84912670041039
DCPS	9.86410874477546	9.89355636930543	9.81981345465327	9.67669230255221
DCSTAMP	7.29452885456115	7.16541957040701	8.37711507071647	8.06383186861306
DCT	6.40445357197224	5.83862911563173	6.23961189410406	6.3487246138708
DCTD	10.2130312930284	9.96847960504869	10.183300409088	10.1083284251126
DCTN1	8.84924244648441	9.18588388529175	9.2375684982313	9.0332357694214
DCTN2	10.2406959442125	10.3345191147948	10.1901209726141	9.96418200373618
DCTN3	11.0288039467356	10.6348654904668	10.8745434025026	10.6821431072849
DCTN4	8.35146049015124	8.19202644618231	8.66793469034899	8.84378289759757
DCTN5	9.60979743111897	9.99351869534257	9.65221757788842	9.631686366312
DCTN6	9.91432084483011	10.0410430687179	9.93314031968198	9.94573936837644
DCTPP1	11.7854197721497	11.4770853239664	11.3856359509132	11.2417091188323
DCUN1D1	8.76792289533884	8.49641441234776	8.77718954981648	8.90287853776383
DCUN1D2	8.18165419262041	7.76596563411345	8.17513533229022	8.5703301010308
DCUN1D4	7.41212098557201	8.08477119076762	7.66638735102458	7.7588294856982
DCX	5.43400097761716	4.52948990059701	5.05382816040134	4.64545957534295
DCXR	11.3448728705473	11.0876020652119	11.0133924683042	10.9809107134154
DDA1	9.26955685145677	10.0052736565639	9.93692203362365	10.0384526436678
DDAH1	4.68774938841111	3.21578264083	4.33529744750168	2.92095065345313
DDAH2	7.22846278182192	7.64109800734309	7.05651850158356	7.27493252620329
DDB1	10.3762773581762	10.3519551173519	10.5467401527009	10.4202655335317
DDB2	8.91187430368421	8.09686271027082	8.55756326039494	8.48737379519341
DDC	6.34107844217697	3.82801204836445	6.59854088610497	3.43617783362757
DDHD2	8.6877535867935	9.2355834723743	8.99824910667435	9.11611519145416
DDIT3	8.67563247823799	8.54277265336492	8.81389660220393	8.83479652824865
DDIT4	8.02097438472589	7.90784606460894	8.27927162977271	8.80622737605188
DDN	4.19662278021145	3.4036631138636	3.81763348935487	3.97414380810939
DDO	5.57745904122809	6.28466588659448	5.25812691669251	5.87870817811274
DDOST	13.1667217205959	13.0261931617242	13.1740486917217	13.2237242061636
DDR2	6.46646887818958	4.63770877176858	6.52366231396049	6.10015139258831
DDRGK1	9.70526432359594	9.7665520975406	10.0960957825871	9.8482833507647
DDX1	12.2419116684004	12.269898092588	11.7323964067036	11.9653586268374
DDX10	9.63125346375841	10.0800313576958	9.86711808806267	9.91475584967165
DDX11	9.07983141566628	8.85568765123478	9.56573996087022	9.15509396646562
DDX17	12.1459830785504	12.2752544538871	11.9721720814408	12.3229083435793
DDX18	12.1255813661344	12.2015174705807	11.9604038317798	12.0880759889305
DDX19A	9.8397313148255	9.50360911875952	9.47641206744954	9.65326965424724
DDX21	11.8739169867421	11.7232727039769	11.6677103225659	11.6339079489734
DDX23	9.64001350793031	9.95431701470062	9.55279395919165	9.59161023328701
DDX24	10.6779045906882	10.8694241951539	10.8484899309592	10.7351413481517
DDX25	5.01172819741845	2.95707138759551	5.88983368459698	5.04856316179805
DDX27	9.78221360182051	10.0437655357377	10.0639882171175	9.82319206776238
DDX28	8.80763828075453	8.6800113357135	8.62956790842597	8.23373470433667
DDX31	8.45762301808964	8.20681901829001	8.38345374283776	7.56604642498456
DDX39A	12.6773805067956	12.4724141523333	12.6728982067769	12.286468240123
DDX3X	12.1824936749454	12.2038373839346	12.343457791627	12.2081825277053
DDX3Y	3.04596187019818	4.53766880835138	5.05662254302924	4.70914724147558
DDX4	2.56807346305821	2.37734867538365	2.65884441561759	2.65498538333731
DDX41	10.7070743615353	10.5682506668533	10.4939955099216	10.3512374107972
DDX42	9.21475380684432	9.31564773825754	9.41642176584816	9.10236418799578
DDX43	3.29769326386298	4.0173251144065	5.18015184034271	2.77303420767579
DDX46	10.3132685297884	10.2570695660342	10.8882942391204	10.6173388934891
DDX49	10.0121496143196	10.1179936687486	10.0347714562132	9.75062492694755
DDX50	9.94707728288192	9.53268709343029	9.18089625208719	9.9398083818827
DDX51	5.62312062891076	6.9249312390522	6.4953865745005	7.0756395885786
DDX52	8.06661126545723	8.03982930042884	8.43819303066458	8.27483005313483
DDX54	8.24161617480653	9.00948434449972	8.69167024863873	8.20842459129713
DDX56	12.033915058338	11.5422532123961	11.430917693553	11.4363367674784
DDX58	4.62103791507028	3.79354218648205	4.68989736351158	6.07667025156252
DDX6	6.02503987165293	6.02332189573985	6.32166838640554	7.03012636908345
DDX60	6.3380410476956	5.97050397924068	6.39968551774294	6.6543997365415
DEAF1	9.47473211256126	8.981872627173	9.17572917463379	9.23204671335011
DEC1	2.51339220438292	5.1972520841727	3.61700455316135	4.72906326957774
DECR1	9.34969921251262	9.58616236898464	9.31921598562563	9.45778510540059
DECR2	9.03328257972848	9.17907805736074	8.84140395200905	9.05743673331556
DEDD	8.94014031649601	8.74289212339985	9.06990620179181	9.14675703474192
DEF6	8.65861852244113	8.52394610087154	8.2411918926931	8.46173317559024
DEF8	9.77941075937921	9.49563920594668	9.41283655667014	9.5177914117489
DEFA4	3.88863610807307	3.09678977744179	3.69490247363163	5.52723614580776
DEFA5	4.08509317904575	5.57497642927638	5.90990988012181	6.57583569682343
DEFA6	3.20151624536669	3.4705889235143	2.62157132932626	3.19555233309064
DEFB1	5.98409712785474	6.55018190779198	3.9155304613236	6.57753608200479
DEFB126	4.46384475495024	4.76945968568154	5.88196066441843	5.64608487397861
DEGS1	11.0364277792895	11.0913031442372	11.2240921413683	11.044954147927
DEK	11.9983259819321	12.0953673509715	11.9202411873907	11.5670814497198
DENND1A	9.43339139970157	9.24558835725771	9.19364116570281	9.00316650666517
DENND1B	8.27807770145984	7.49637446343555	8.38001942242102	8.1883564133878
DENND1C	8.10753618589053	8.0572065531123	8.15113326938849	7.79600715188333
DENND2A	4.6964835338549	5.07915620661764	5.16703672211749	5.57218936706387
DENND2D	10.2460042205327	9.93297945820151	9.79743618846945	9.84841011939057
DENND3	8.73054825628388	8.64208058265205	8.26427368945611	8.38948077060923
DENND4A	7.4046647417722	7.47813052681001	7.8104238232231	7.30408203909623
DENND4B	8.69838171693513	9.19014320118927	8.75106531286382	8.840529324406
DENND4C	6.86934090606477	6.57007427395449	7.20416028445136	7.9093530968486
DENND5A	10.0523914389065	9.97384083953315	10.1817237540948	9.91932369350489
DENND5B	4.59236135276595	1.83227028152138	2.93945979770972	1.94047875241319
DENND6B	6.19765115661701	6.44962905093969	6.11603823346407	6.46692071873482
DENR	10.6808429783156	10.6958633551861	10.3731805471547	10.826357810148
DEPDC1	6.65677664490125	7.42487171390104	6.92380285756926	7.32642049834015
DEPDC5	4.95501050521529	6.0353379814666	7.00093519439078	5.8849275445205
DEPTOR	7.41788626174362	7.77489904528076	7.04441597820863	7.54718759808077
DERA	10.4289149487315	10.176609507712	10.3566060255399	10.1776686866024
DERL1	10.9308629766396	10.9903805602839	10.8836360886371	11.0225481386385
DERL2	9.27132295362484	9.1384100464892	8.86519505913805	9.1577182994205
DES	6.45144687015757	6.57915751530904	5.87627381661722	5.07030345063069
DESI1	8.72115046842524	8.59951865000292	8.44142953022524	8.62510607239664
DESI2	10.9510879704103	10.7112797941442	10.9214616220227	11.0665735962661
DET1	7.9790878839556	7.77557736093065	8.25961616913318	8.19538697264956
DEXI	8.89108800463251	8.96529368494151	8.93319787126796	9.14813080237294
DFFA	9.25911474250059	9.32052078104546	9.27674788709748	9.21516166122611
DFFB	8.07873790918186	7.98953642056108	7.90657797781484	8.013110476257
DFNA5	4.12487400575965	5.26517056700668	4.86845465921055	4.85460911109296
DFNB31	4.62476767983019	4.98800748357003	3.11056536688029	5.18409379538268
DGAT1	8.29093118976225	8.82928510406692	8.95881948060275	8.9604624780521
DGCR2	8.49633051835442	8.284453982682	7.72296459710903	8.24874354428239
DGCR6L	6.60034112517896	4.97678978193346	4.93035887611242	5.50558610280185
DGKA	7.61243359646023	7.92161484755958	8.12506728546845	7.72435695576632
DGKB	5.07711051789053	1.3561269035437	2.23031062726926	3.65440116873072
DGKD	8.74004044021765	8.48584138141324	8.4452425129174	8.70909760168436
